year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV,COAL_ADV,NATGAS_ADV
2025,0.0,7.5059,1.3992896000000001,16.3716,12.42,0.2672,9.048733700000001,0.0,0.0,0.0
2030,5.0848062,5.04524,22.864305,16.3327,12.42,33.823822,15.705865,0.0,0.0,0.0
2035,5.0848062,2.81574,26.028038000000002,15.903979999999999,12.42,38.43905,17.871335,0.0,0.0,0.0
2040,5.0848062,2.4444,29.19177,5.02332,12.42,43.054278,20.036804,0.0,0.0,0.0
2045,5.0848062,2.35704,32.355502,0.6888,12.42,47.669506,22.202274000000003,0.0,0.0,0.0
2050,5.0848062,2.2556,35.519048000000005,0.6888,12.42,52.283175,24.368904999999998,0.0,0.0,0.0
2025,0.0,7.5059,1.5174754000000001,16.3716,12.42,0.2672,8.7701208,0.0,0.0,0.0
2030,4.033219,5.04524,23.149155999999998,16.3327,12.42,29.414917000000003,19.052399,0.0,0.0,0.0
2035,4.033219,2.81574,26.10283,15.903979999999999,12.42,33.143716999999995,21.465713,0.0,0.0,0.0
2040,4.033219,2.4444,29.056504,5.02332,12.42,36.872517,23.879026999999997,0.0,0.0,0.0
2045,4.033219,2.35704,32.009716,0.6888,12.42,40.598839999999996,26.299946,0.0,0.0,0.0
2050,4.033219,2.2556,34.962477,0.6888,12.42,44.322755,28.728263,0.0,0.0,0.0
2025,0.0,7.5059,1.3292555,16.3716,12.42,0.2672,9.3154732,7.9923366e-10,0.0,0.0
2030,6.3959237,5.04524,21.008278999999998,16.3327,12.42,25.192211,18.393392,8.2381417e-10,0.0,0.0
2035,6.9407646000000005,2.81574,23.212127,15.903979999999999,12.42,27.723447,20.374727,8.2952018e-10,0.0,0.0
2040,6.9407646000000005,2.4444,26.85697,5.02332,12.42,31.207141,23.081631,8.3294243e-10,0.0,0.0
2045,6.9407646000000005,2.35704,30.951106,0.6888,12.42,34.441597,25.621585,8.3294243e-10,0.0,0.0
2050,6.9407646000000005,2.2556,34.383435,0.6888,12.42,38.087216,28.407557,8.3294243e-10,0.0,0.0
2025,0.0,7.5059,1.4205932000000001,16.3716,12.42,0.2672,9.6037626,0.0,0.0,0.0
2030,4.260308,5.04524,14.60759,16.3327,12.42,22.346534,8.924402599999999,4.4282202999999996,0.0,0.0
2035,4.260308,2.81574,14.805253,15.903979999999999,12.42,24.802476,7.1501671,5.538070800000001,0.0,0.0
2040,4.260308,2.4444,17.054235000000002,5.02332,12.42,27.989397,8.9767817,5.9790231,0.0,0.0
2045,4.260308,2.35704,21.076181000000002,0.6888,12.42,34.9897,10.178601,5.9790231,0.0,0.0
2050,4.260308,2.2556,25.235062000000003,0.6888,12.42,41.993634,11.232319,5.9790231,0.0,0.0
2025,0.0,7.5059,1.0425227,16.3716,12.42,0.2672,8.550938799999999,0.0,0.0,0.0
2030,6.6126246,5.04524,22.131451000000002,16.3327,12.42,27.438551,15.45566,0.0,0.0,0.0
2035,6.763585600000001,2.81574,25.423384,15.903979999999999,12.42,31.656696,17.12763,0.0,0.0,0.0
2040,6.763585600000001,2.4444,29.037536,5.02332,12.42,35.682408,19.524321,0.0,0.0,0.0
2045,6.763585600000001,2.35704,32.966624,0.6888,12.42,39.646622,21.794254000000002,0.0,0.0,0.0
2050,6.763585600000001,2.2556,36.294962,0.6888,12.42,44.048644,24.294247,0.0,0.0,0.0
