year,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV
2025,7.5059,0.34183233,16.3716,12.42,0.2672,6.29482,0.91816052
2030,5.04524,9.5859629,16.3327,12.42,10.212622999999999,5.61546,9.2654059
2035,2.81574,9.5698829,15.903979999999999,12.42,10.191803,3.21062,10.716334000000002
2040,2.4444,9.356150600000001,5.02332,12.42,10.173862999999999,2.3242849999999997,12.146214
2045,2.35704,10.126268,0.6888,12.42,9.9766232,2.6643258,13.133863999999999
2050,2.2556,10.481995999999999,0.6888,12.42,9.993572899999998,2.6643258,14.279684999999999
2025,7.5059,0.49608709,16.3716,12.42,0.2672,6.29482,1.0700281999999999
2030,5.04524,8.2023028,16.3327,12.42,7.5877650999999995,5.61546,10.116046
2035,2.81574,8.4822797,15.903979999999999,12.42,7.5669451,3.21062,11.425368
2040,2.4444,8.869890400000001,5.02332,12.42,7.5490051000000005,1.91224,12.658392
2045,2.35704,9.1684012,0.6888,12.42,7.3517651,1.817321,13.855533
2050,2.2556,9.5437999,0.6888,12.42,7.3699852,1.817321,14.999827999999999
2025,7.5059,0.69235276,16.3716,12.42,0.2672,6.29482,0.75662061
2030,5.04524,8.3305289,16.3327,12.42,8.4817547,5.61546,9.920828
2035,2.81574,8.7980649,15.903979999999999,12.42,8.775476399999999,3.21062,11.165734
2040,2.4444,9.2014257,5.02332,12.42,8.757536400000001,2.1630175,12.383452
2045,2.35704,9.546906000000002,0.6888,12.42,8.560296399999999,2.0873765,13.574986999999998
2050,2.2556,9.915082,0.6888,12.42,8.6052803,2.0873765,14.718842
2025,7.5059,0.54788707,16.3716,12.42,0.2672,6.29482,0.95331787
2030,5.04524,9.7432538,16.3327,12.42,6.822108500000001,5.61546,9.7503533
2035,2.81574,9.727173800000001,15.903979999999999,12.42,7.381389100000001,3.21062,11.068558000000001
2040,2.4444,9.307386699999999,5.02332,12.42,7.3634490999999995,2.3098303999999996,12.570988999999999
2045,2.35704,8.1283966,0.6888,12.42,7.1662091,0.39759043000000005,14.502325999999998
2050,2.2556,9.622156,0.6888,12.42,7.136809100000001,1.8154113,15.071361999999999
2025,7.5059,0.6950843,16.3716,12.42,0.2672,6.29482,0.88344643
2030,5.04524,9.3544859,16.3327,12.42,8.6357228,5.61546,9.644131100000001
2035,2.81574,9.537983500000001,15.903979999999999,12.42,8.6149028,3.21062,10.974936
2040,2.4444,8.9709992,5.02332,12.42,8.5969628,2.0854364,12.578771000000001
2045,2.35704,7.8108169,0.6888,12.42,8.3997228,0.25933976999999997,14.49229
2050,2.2556,10.572071,0.6888,12.42,8.3703228,3.0055098,14.496094999999999
2025,7.5059,0.44289893,16.3716,12.42,0.2672,6.29482,1.0178529
2030,5.04524,8.932315699999998,16.3327,12.42,7.0072624999999995,5.61546,9.9450938
2035,2.81574,9.0513491,15.903979999999999,12.42,6.9864425,3.21062,11.320635
2040,2.4444,8.7365502,5.02332,12.42,6.9685025,1.91224,12.842549000000002
2045,2.35704,8.290291300000002,0.6888,12.42,6.7712625,0.4635663,14.478208
2050,2.2556,8.7245424,0.6888,12.42,6.7418625,0.51445523,15.599656000000001
2025,7.5059,0.44273521,16.3716,12.42,0.2672,6.29482,1.0811791000000002
2030,5.04524,9.665454200000001,16.3327,12.42,9.3816643,5.61546,9.3418533
2035,2.81574,9.8972091,15.903979999999999,12.42,9.3608443,3.21062,10.688553
2040,2.4444,9.5825739,5.02332,12.42,9.3429043,2.5168483999999998,12.155871999999999
2045,2.35704,10.469119000000001,0.6888,12.42,9.1701478,2.9646534,13.09583
2050,2.2556,11.070489,0.6888,12.42,9.6673322,3.2698072000000002,14.067620000000002
2025,7.5059,0.38358249,16.3716,12.42,0.2672,6.29482,0.82873803
2030,5.04524,9.4632443,16.3327,12.42,9.5606981,5.61546,9.4036359
2035,2.81574,9.521885000000001,15.903979999999999,12.42,9.5398781,3.21062,10.814598
2040,2.4444,9.2664025,5.02332,12.42,9.5219381,2.4934469,12.252464
