,Steam Production (klbs),CWS,TES
2019-08-26 23:00:00,162.0380659166667,13000.158333336669,0.0
2019-08-27 00:00:00,166.38753166666672,12256.969666665,0.0
2019-08-27 01:00:00,166.64778883333332,11763.218694445004,0.0
2019-08-27 02:00:00,156.47114258333337,11189.10644445,0.0
2019-08-27 03:00:00,157.96369249999998,10790.626833333332,0.0
2019-08-27 04:00:00,162.0553235833334,10597.856638881662,0.0
2019-08-27 05:00:00,172.79326349999994,11848.914611108334,0.0
2019-08-27 06:00:00,175.7799925833333,11968.54544722,0.0
2019-08-27 07:00:00,175.07986975000006,11603.732463887829,1972.9831001944497
2019-08-27 08:00:00,173.81699166666664,11434.203777781664,3077.6521586111658
2019-08-27 09:00:00,169.94507541666664,12763.333444441661,2960.525247222334
2019-08-27 10:00:00,172.60680008333327,12854.100555556664,3329.4638902778324
2019-08-27 11:00:00,173.43163616666664,12946.697472223334,3498.2917616668337
2019-08-27 12:00:00,170.24876916666668,13310.977416665002,3654.859488610666
2019-08-27 13:00:00,170.5666373333333,12970.643472219996,4042.920058055667
2019-08-27 14:00:00,167.37746028333336,13276.89461111333,4040.1682636109995
2019-08-27 15:00:00,163.55882474999996,13435.355111111667,4064.223329445
2019-08-27 16:00:00,165.53554825000003,13545.645916668329,3502.6558569441668
2019-08-27 17:00:00,165.32379266666672,13286.641972226667,2940.4824924998343
2019-08-27 18:00:00,166.4726348333334,13647.294083335,267.1638611112833
2019-08-27 19:00:00,167.35617708333328,17442.515638886664,-3287.138344111217
2019-08-27 20:00:00,167.46190241666665,21113.556944446664,-6957.140244721997
2019-08-27 21:00:00,167.6407043333334,20753.167416663327,-7475.332581389168
2019-08-27 22:00:00,168.52147041666663,20041.436305555,-7226.944230555831
2019-08-27 23:00:00,166.09286258333333,19356.237722220005,-7255.368936944998
2019-08-28 00:00:00,161.87404375,18836.79838889,-7283.688429444168
2019-08-28 01:00:00,159.9889746666667,18496.511166670003,-7298.5013166668305
2019-08-28 02:00:00,161.08453633333335,18058.810277771663,-7281.346870555669
2019-08-28 03:00:00,162.11612933333333,16471.602805555,-5882.659123332832
2019-08-28 04:00:00,173.2218694166667,13758.375583333329,-2742.829426111167
2019-08-28 05:00:00,174.27634616666666,12317.443058338335,-81.29577283333333
2019-08-28 06:00:00,175.9458665833333,13366.979333333333,0.0
2019-08-28 07:00:00,176.4250579166667,13463.101777775002,3089.604992752384
2019-08-28 08:00:00,175.86678116666664,14132.450888893336,4153.899580833166
2019-08-28 09:00:00,171.23500858333335,15319.013416664995,4136.388772500001
2019-08-28 10:00:00,168.87055733333332,15766.626222224997,4140.542278333665
2019-08-28 11:00:00,167.78276825,17539.639527775,4291.614217777501
2019-08-28 12:00:00,168.1808254166667,17130.669138886667,4833.726886666667
2019-08-28 13:00:00,167.01472399166659,17728.73661111166,4843.326455833667
2019-08-28 14:00:00,167.11542903333333,17869.567611109997,4887.470866111501
2019-08-28 15:00:00,164.14402524999997,17928.58761110667,4883.438930278168
2019-08-28 16:00:00,165.80461583333332,17934.84452776833,4875.619786388666
2019-08-28 17:00:00,166.17372591666663,17895.645444445003,3240.7973305561663
2019-08-28 18:00:00,168.63929791666664,18308.134972221673,276.4889271108833
2019-08-28 19:00:00,168.71602641666675,22662.768666666674,-2359.929718527116
2019-08-28 20:00:00,166.84905641666666,23267.274444446663,-4287.955232221499
2019-08-28 21:00:00,165.26571100000004,22286.43102777833,-4326.104342500168
2019-08-28 22:00:00,162.00371041666662,21246.833027778335,-4318.102727222334
2019-08-28 23:00:00,162.80195399999997,20310.859277775002,-4968.584098333001
2019-08-29 00:00:00,157.94721683333333,19975.315305545,-4978.7324227778345
2019-08-29 01:00:00,155.09599691666665,19708.434083334996,-4949.674593611167
2019-08-29 02:00:00,155.77754499999998,19706.434999999998,-4969.507426388333
2019-08-29 03:00:00,164.57208675,19769.73905555833,-4944.675049444833
2019-08-29 04:00:00,158.82965083333335,19568.170694445,-4917.578477499998
2019-08-29 05:00:00,165.29979666666662,18398.098472218342,-2562.047388055668
2019-08-29 06:00:00,173.90634699999998,15752.365583326668,-130.91284641683333
2019-08-29 07:00:00,175.98599333333334,13334.71655555833,2743.2934988112493
2019-08-29 08:00:00,173.67678200000003,13710.712916666664,3114.502354722166
2019-08-29 09:00:00,170.66268300000004,14155.160722226667,3160.166756943834
2019-08-29 10:00:00,168.42613249999994,14831.305666668333,4105.927801667001
2019-08-29 11:00:00,168.9098694166667,14760.792500001666,4769.116076944332
2019-08-29 12:00:00,171.16712850000005,14260.628305558337,4752.373988888835
2019-08-29 13:00:00,172.33007725000007,14312.324888889998,4684.585329444499
2019-08-29 14:00:00,171.02272366666665,14233.160638891666,4646.893790555167
2019-08-29 15:00:00,169.24001825000002,13962.293722223329,4634.138812777999
2019-08-29 16:00:00,172.4037756666667,13386.656749993332,4623.907678888998
2019-08-29 17:00:00,172.05612616666664,13422.153138891668,3088.4688022220002
